lemma,frequency,rank
marhalábszár,2,1232
dió,2,1233
Pásztortarhonya,2,1234
borcsmártásos,2,1235
gyümölcskrém,2,1236
tejszínhabrózsa,2,1237
Forró,2,1238
burgonyakrém,2,1239
Halrudak,2,1240
kerti,2,1241
fokhagymakrémleves,2,1242
lencsekrémleves,2,1243
baconmorzsa,2,1244
kolbászhús,2,1245
Rózsagulyásleves,2,1246
malacleves,2,1247
emiliane,2,1248
márványsajtos,2,1249
szalonnapörc,2,1250
áfonyaszóss,2,1251
sajtos-tejfölös,2,1252
gyümölcskrémleves,2,1253
sertésflekk,2,1254
lúdgége,2,1255
Vajgaluska,2,1256
Zöldségkrém,2,1257
diós/mákos,2,1258
karfiolkrémleves,2,1259
pácolt,2,1260
besamel,2,1261
málnaszósz,2,1262
csopaki,2,1263
sajt-rántott,2,1264
áfonyakrémleves,2,1265
kertisaláta,2,1266
Penne,2,1267
Csirkemelles,2,1268
kakaópor,2,1269
eperdarab,2,1270
Halrúd,2,1271
vajbableves,2,1272
Camembert,2,1273
csülökkel,2,1274
Csirkemájas,2,1275
Libaraguleves,2,1276
indiai,2,1277
csülökpörköl,2,1278
brokkolikrémleves,2,1279
sajtbundás,2,1280
Tyúkerő,2,1281
paszúj,2,1282
Szegedi,2,1283
má,2,1284
sala,2,1285
Zöldségkrémleves,2,1286
fokhagymás-tejfölös,2,1287
meglepetés,2,1288
Tésztaleves,2,1289
málnakrémleves,2,1290
gombakrémleves-,2,1291
szilvakrémleves,2,1292
szilvamártás,2,1293
fehér,2,1294
csokoládé,2,1295
-sajttal-sonka,2,1296
-rántott,2,1297
Gyümölcs,2,1298
garnéla,2,1299
Vasi,2,1300
felsőcomb,2,1301
szállítás,2,1302
-töltött,2,1303
Mangókrémleves,2,1304
almakompót,2,1305
Zsemlegombóc,2,1306
Lencsekrémleves,2,1307
sajttal-gomba,2,1308
spárgakrémleves,2,1309
Marhacsontleves,2,1310
csokis,2,1311
Párizsiasan,2,1312
fokhagymás-lecsós,2,1313
Sárgaborsókrém,2,1314
Prágai,2,1315
Camambert,2,1316
Parajjal,2,1317
kàposzta,2,1318
pulykaszárny,2,1319
gom,2,1320
krém,2,1321
Sörös,2,1322
egyben,2,1323
mustáros-zöldfűszeres,2,1324
borsófőzelék,2,1325
gyümölcsszóss,2,1326
Ramen,2,1327
spenótos-tejszínes,2,1328
ruccolával-túró,2,1329
meggyragu,2,1330
konfitált,2,1331
péntek,2,1332
Sertéssül,2,1333
Mogyorókrémes,2,1334
piszkeszóss,2,1335
eperkrém,2,1336
Bográcsgulyás,2,1337
keménytarhonya,2,1338
Libamáj,2,1339
Sirius,2,1340
Csirkeraguleves,2,1341
-óvári,2,1342
or,2,1343
Zempléni,2,1344
Farsangi,2,1345
nagykunsági,2,1346
baby,2,1347
sertésszelet-,2,1348
joghurt,2,1349
fusilli,2,1350
Pulykatokány,2,1351
Pizza,2,1352
quattro,2,1353
bojtár,2,1354
narancs,2,1355
cigány,2,1356
family,2,1357
csángó,2,1358
Paprikásburgonya,2,1359
kelbimbó,2,1360
