dish_name,score,lemmas
dish_name,count,dish_name
Gombapaprikás galuskával,9,Gombapaprikás galuska
"Finomfőzelék, sült csirkecomb",9,"Finomfőzelék , sült csirkecomb"
Harcsapaprikás túrós csusza,9,Harcsapaprikás túrós csusza
Bakonyi sertés tésztával,9,Bakonyi sertés tészta
Pincepörkölt,9,Pincepörkölt
"Rántott szelet, kukoricás rizs",9,"rántott szél , kukoricás rizs"
Túrógombóc,9,Túrógombóc
Savanyú krumplileves,9,Savanyú krumplileves
Cigánypecsenye steak burgonya,9,Cigánypecsenye steak burgonya
"Zöldborsó főzelék, rántott csirkecomb",9,"Zöldborsó főzelék , rántott csirkecomb"
Édes - savanyú csirkemell bulgurral,9,édes - savanyú csirkemell bulgur
Mátrai borzaska rizibizi,9,Mátrai borzaska rizibizi
"Paradicsomos káposzta, sült hússal",9,"Paradicsomos káposzta , sült hús"
Csirkés pirított tészta,9,Csirkés pirított tészta
Paradicsomos húsgombóc főttburgonya,9,Paradicsomos húsgombóc főttburgonya
Pacal főttburgonyával,9,Pacal főttburgonyá
Mákos vagy sajtos nudli,9,mákos vagy sajtos nudli
Krumplifőzelék fasírttal,9,Krumplifőzelék fasírt
"Rántott csirkemell, rizibizi",9,"rántott csirkemell , rizibizi"
Temesvári sertésragu tésztával,9,Temesvári sertésragu tészta
Tökfőzelék fasírttal,9,Tökfőzelék fasírt
Gyümölcsrizs,9,Gyümölcsrizs
Csopaki aprópecsenye tésztával,9,Csopaki aprópecsenye tészta
"Csirkenyárs, amerikai burgonya",9,"Csirkenyárs , amerikai burgonya"
Pásztor gulyásleves – szárnyas raguleves,9,Pásztor gulyásleves – szárnyas raguleves
"Debreceni szelet, kagylótésztával",9,"debreceni szél , kagylótészta"
